Employee_Number,Monthly_Income,Percent_Salary_Hike,Stock_Option_Level,Over_Time
1,5993,11,0,Yes
2,5130,23,1,No
4,2090,15,0,Yes
5,2909,11,0,Yes
7,3468,12,1,No
8,3068,13,0,No
10,2670,20,3,Yes
11,2693,22,1,No
12,9526,21,0,No
13,5237,13,2,No
14,2426,13,1,No
15,4193,12,0,Yes
16,2911,17,1,No
18,2661,11,1,No
19,2028,14,0,Yes
20,9980,11,1,No
21,3298,12,2,Yes
22,2935,13,2,Yes
23,15427,16,0,No
24,3944,11,0,Yes
26,4011,18,1,No
27,3407,23,0,No
28,11994,11,0,No
30,1232,14,0,No
31,2960,11,0,No
32,19094,11,1,No
33,3919,22,0,Yes
35,6825,11,1,No
36,10248,14,1,No
38,18947,12,0,No
39,2496,11,0,No
40,6465,13,0,Yes
41,2206,13,0,No
42,2086,14,1,No
45,2293,16,1,Yes
46,2645,12,2,No
47,2683,14,0,Yes
49,2014,13,0,No
51,3419,14,1,Yes
52,5376,19,2,No
53,1951,12,1,No
54,2341,13,1,No
55,2293,12,0,No
56,8726,15,0,No
57,4011,23,0,No
58,19545,12,0,No
60,4568,20,0,No
61,3022,21,0,No
62,5772,21,0,Yes
63,2269,19,0,No
64,5381,13,0,Yes
65,3441,13,0,Yes
68,5454,21,1,Yes
70,9884,13,1,Yes
72,4157,19,1,Yes
73,13458,12,0,Yes
74,9069,22,1,No
75,4014,15,1,Yes
76,5915,22,1,No
77,5993,18,1,No
78,6162,22,1,Yes
79,2406,11,0,No
80,18740,12,1,Yes
81,7637,11,0,No
83,10096,13,3,No
84,14756,14,3,Yes
85,6499,13,0,No
86,9724,17,1,No
88,2194,13,1,No
90,3388,17,1,Yes
91,5473,11,0,No
94,2703,23,1,No
95,2501,17,0,No
96,6220,17,2,No
97,3038,12,0,No
98,4424,23,0,No
100,4312,14,0,No
101,13245,14,0,Yes
102,13664,13,0,No
103,5021,22,1,Yes
104,5126,12,2,Yes
105,2859,18,0,No
106,10239,14,1,No
107,5329,12,3,Yes
110,4325,15,0,No
112,7260,11,0,No
113,2322,13,1,No
116,2075,23,2,No
117,4152,19,3,No
118,9619,16,0,No
119,13503,22,1,No
120,5441,22,0,Yes
121,5209,12,3,Yes
124,10673,13,1,Yes
125,5010,16,0,No
126,13549,12,1,No
128,4999,21,1,No
129,4221,15,0,No
131,13872,13,0,No
132,2042,12,1,No
133,2073,22,0,Yes
134,2956,13,0,No
137,2926,18,0,Yes
138,4809,14,0,No
139,5163,14,1,No
140,18844,21,1,No
141,18172,19,0,Yes
142,5744,11,0,Yes
143,2889,11,2,No
144,2871,15,0,No
145,7484,20,0,No
147,6074,24,0,Yes
148,17328,12,0,Yes
150,2774,12,1,No
151,4505,15,1,No
152,7428,12,0,No
153,11631,12,0,No
154,9738,14,1,No
155,2835,22,1,No
158,16959,12,2,Yes
159,2613,25,3,No
160,6146,13,1,No
161,4963,18,3,Yes
162,19537,13,0,No
163,6172,18,0,Yes
164,2368,19,0,No
165,10312,12,1,No
167,1675,19,0,Yes
169,2523,14,1,No
170,6567,14,0,No
171,4739,12,0,No
174,9208,11,0,No
175,4559,11,1,Yes
176,8189,13,1,Yes
177,2942,23,1,No
178,4941,20,2,No
179,10650,15,0,No
182,5902,14,1,No
183,8639,18,0,No
184,6347,19,0,Yes
190,4200,22,0,No
192,3452,13,0,No
193,4317,20,0,Yes
194,2632,14,0,No
195,4668,17,3,No
197,3204,14,1,No
198,2720,13,0,No
199,17181,13,1,No
200,2238,21,1,No
201,1483,14,0,No
202,5605,11,1,No
204,7295,13,2,No
205,2306,20,1,Yes
206,2348,18,1,No
207,8998,14,0,No
208,4319,13,1,No
211,6132,17,0,No
214,3346,20,1,Yes
215,10855,11,1,No
216,2231,18,1,No
217,2323,24,2,No
218,2024,18,1,No
221,2713,11,1,No
223,9439,16,1,Yes
224,2566,15,1,Yes
226,19926,15,0,No
227,2451,12,1,No
228,9419,12,1,No
230,8686,22,0,No
231,3038,20,0,No
233,3058,16,1,Yes
235,2325,21,0,No
238,2088,12,0,No
239,3072,11,2,No
240,5006,11,1,Yes
241,4257,18,1,Yes
242,2500,14,0,No
243,1102,22,0,No
244,10453,25,3,No
245,2288,12,0,No
246,3929,23,1,Yes
247,2311,15,0,No
248,3140,22,0,Yes
249,3690,15,1,No
250,4450,11,2,No
252,2756,13,1,No
253,19033,14,1,No
254,18722,11,0,No
256,9547,17,0,No
258,13734,18,0,No
259,19999,14,1,No
260,2279,16,0,No
261,5916,13,0,Yes
262,2089,14,3,No
264,16792,23,1,No
267,3564,12,1,Yes
269,4425,11,0,No
270,5265,16,1,No
271,6553,14,0,No
273,6261,18,1,No
274,4298,19,1,No
275,6804,15,2,Yes
277,3815,17,1,Yes
281,2741,15,1,Yes
282,6673,19,0,Yes
283,7639,22,3,No
284,2328,16,1,Yes
286,2153,13,0,No
287,4876,14,1,No
288,9396,16,1,No
291,10400,11,0,No
292,8474,22,0,No
293,9981,14,0,No
296,12490,16,2,No
297,2657,11,0,Yes
298,13591,18,0,Yes
299,6696,15,0,No
300,2058,14,0,No
302,8865,12,0,No
303,5940,14,1,No
304,5914,16,0,No
305,2622,21,0,No
306,12185,14,3,Yes
307,10609,12,2,No
308,4345,12,1,No
309,2177,17,1,No
311,2793,17,1,No
312,7918,14,1,No
314,8789,14,0,No
315,2389,13,0,Yes
316,3212,15,0,No
319,19232,11,0,No
321,2267,17,0,No
323,19517,11,1,No
325,2436,13,1,Yes
327,16064,22,1,Yes
328,2707,20,0,No
329,19068,18,0,Yes
330,3931,11,1,No
331,3730,14,0,Yes
332,2232,14,3,No
333,4465,18,0,No
334,3072,16,2,No
335,3319,17,2,No
336,19202,11,1,No
337,13675,12,1,No
338,2911,13,1,No
339,5957,13,1,No
340,3920,14,1,No
341,6434,17,1,No
342,10048,11,2,No
343,10938,25,0,No
346,2340,19,0,No
347,6545,13,0,Yes
349,6931,14,1,No
350,4898,12,2,No
351,2593,11,1,Yes
352,19436,19,1,No
353,2723,11,0,No
355,3479,11,0,No
359,2794,20,0,No
361,5249,18,1,No
362,2176,13,0,No
363,16872,12,1,Yes
364,3485,11,0,No
366,6644,19,2,No
367,5582,21,1,No
369,4000,12,2,No
372,13496,14,0,Yes
373,3210,11,1,No
374,19045,14,0,Yes
376,11849,12,1,Yes
377,2070,23,1,No
378,6502,14,1,No
379,3230,17,0,No
380,13603,18,2,Yes
381,11996,18,1,No
382,5605,24,1,Yes
384,6397,20,1,No
385,19144,14,2,No
386,17584,16,3,Yes
387,4907,25,0,No
388,4554,18,0,No
389,5415,19,1,Yes
390,4741,13,1,Yes
391,2115,12,0,No
392,3161,22,1,Yes
393,5745,14,1,No
394,2373,13,1,Yes
395,3310,21,0,No
396,18665,11,0,Yes
397,4485,12,0,No
399,2789,11,1,No
401,5828,12,0,Yes
403,2326,12,3,Yes
404,13525,14,1,No
405,1420,13,0,No
406,8020,15,2,No
407,3688,18,2,No
408,5482,18,1,No
